uid,he_score,he_class,pdl1_score,pdl1_class
BLOCK_3|B2,0.5,1,0.46,0
BLOCK_1|J2,0.45,0,0.49,0
BLOCK_5|F2,0.39,0,0.48,0
BLOCK_2|I5,0.47,0,0.45,0
BLOCK_5|H9,0.55,1,0.52,1
BLOCK_3|K1,0.51,1,0.46,0
BLOCK_5|A2,0.45,0,0.47,0
BLOCK_5|J6,0.59,1,0.5,1
BLOCK_3|J9,0.39,0,0.42,0
BLOCK_2|I4,0.39,0,0.43,0
BLOCK_5|A4,0.57,1,0.56,1
BLOCK_5|K10,0.62,1,0.47,0
BLOCK_1|F4,0.45,0,0.35,0
BLOCK_2|B4,0.62,1,0.51,1
BLOCK_5|A9,0.45,0,0.5,1
BLOCK_3|J7,0.61,1,0.45,0
BLOCK_5|D6,0.56,1,0.41,0
BLOCK_3|C10,0.53,1,0.48,0
BLOCK_2|J1,0.43,0,0.44,0
BLOCK_3|I10,0.59,1,0.59,1
BLOCK_4|I6,0.29,0,0.4,0
BLOCK_2|F5,0.36,0,0.48,0
BLOCK_1|I4,0.4,0,0.43,0
BLOCK_1|B2,0.36,0,0.49,0
BLOCK_2|A5,0.44,0,0.48,0
BLOCK_3|F1,0.57,1,0.53,1
BLOCK_2|L1,0.5,1,0.47,0
BLOCK_1|J1,0.36,0,0.37,0
BLOCK_5|A3,0.56,1,0.54,1
BLOCK_5|J8,0.44,0,0.42,0
BLOCK_1|D9,0.45,0,0.52,1
BLOCK_4|A4,0.55,1,0.53,1
BLOCK_1|B8,0.49,0,0.5,1
BLOCK_5|D7,0.58,1,0.47,0
BLOCK_1|J5,0.57,1,0.46,0
BLOCK_5|F1,0.49,0,0.49,0
BLOCK_1|E10,0.44,0,0.47,0
BLOCK_2|H9,0.51,1,0.54,1
BLOCK_1|D1,0.39,0,0.46,0
BLOCK_1|E1,0.42,0,0.46,0
BLOCK_5|G9,0.55,1,0.53,1
BLOCK_5|H2,0.43,0,0.43,0
BLOCK_5|I7,0.46,0,0.52,1
BLOCK_1|J3,0.42,0,0.51,1
BLOCK_2|K1,0.43,0,0.44,0
BLOCK_1|C3,0.51,1,0.47,0
BLOCK_3|A1,0.49,0,0.51,1
BLOCK_4|D2,0.52,1,0.47,0
BLOCK_3|G8,0.58,1,0.52,1
BLOCK_2|G1,0.4,0,0.5,1
BLOCK_4|E3,0.51,1,0.56,1
BLOCK_1|B6,0.5,1,0.48,0
BLOCK_5|D8,0.54,1,0.6,1
BLOCK_4|H4,0.5,1,0.49,0
BLOCK_5|H3,0.47,0,0.48,0
BLOCK_1|C1,0.49,0,0.48,0
BLOCK_3|E5,0.48,0,0.5,1
BLOCK_5|F7,0.48,0,0.49,0
BLOCK_2|C9,0.6,1,0.49,0
BLOCK_5|I5,0.46,0,0.49,0
BLOCK_3|K5,0.52,1,0.46,0
BLOCK_1|I7,0.46,0,0.47,0
BLOCK_5|C7,0.53,1,0.41,0
BLOCK_3|I4,0.54,1,0.52,1
BLOCK_1|C9,0.37,0,0.39,0
BLOCK_1|D3,0.34,0,0.45,0
BLOCK_5|B7,0.53,1,0.52,1
BLOCK_3|H4,0.56,1,0.5,1
BLOCK_1|D8,0.23,0,0.34,0
BLOCK_1|E5,0.51,1,0.52,1
BLOCK_3|L5,0.56,1,0.46,0
BLOCK_2|J5,0.42,0,0.43,0
BLOCK_3|B6,0.47,0,0.49,0
BLOCK_4|C2,0.42,0,0.42,0
BLOCK_5|H5,0.5,1,0.38,0
BLOCK_3|L1,0.53,1,0.5,1
BLOCK_5|I1,0.35,0,0.49,0
BLOCK_4|J2,0.53,1,0.61,1
BLOCK_5|C6,0.45,0,0.46,0
BLOCK_1|E2,0.48,0,0.46,0
BLOCK_2|D9,0.44,0,0.4,0
BLOCK_3|F8,0.44,0,0.48,0
BLOCK_3|H8,0.47,0,0.5,1
BLOCK_5|B1,0.51,1,0.48,0
BLOCK_1|K6,0.4,0,0.4,0
BLOCK_4|G4,0.53,1,0.48,0
BLOCK_5|G3,0.47,0,0.48,0
BLOCK_2|I1,0.5,1,0.5,1
